Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
6/10/2020,2/1/2020,6/6/2020,VA,Arlington County,51013,121,607
6/10/2020,2/1/2020,6/6/2020,VA,Chesterfield County,51041,34,942
6/10/2020,2/1/2020,6/6/2020,VA,Fairfax County,51059,346,2173
6/10/2020,2/1/2020,6/6/2020,VA,Hanover County,51085,47,511
6/10/2020,2/1/2020,6/6/2020,VA,Henrico County,51087,102,1309
6/10/2020,2/1/2020,6/6/2020,VA,Loudoun County,51107,88,747
6/10/2020,2/1/2020,6/6/2020,VA,Mecklenburg County,51117,22,177
6/10/2020,2/1/2020,6/6/2020,VA,Page County,51139,22,106
6/10/2020,2/1/2020,6/6/2020,VA,Prince William County,51153,62,672
6/10/2020,2/1/2020,6/6/2020,VA,Rockingham County,51165,19,333
6/10/2020,2/1/2020,6/6/2020,VA,Shenandoah County,51171,18,181
6/10/2020,2/1/2020,6/6/2020,VA,Alexandria city,51510,64,381
6/10/2020,2/1/2020,6/6/2020,VA,Charlottesville city,51540,11,342
6/10/2020,2/1/2020,6/6/2020,VA,Fredericksburg city,51630,13,319
6/10/2020,2/1/2020,6/6/2020,VA,Harrisonburg city,51660,13,117
6/10/2020,2/1/2020,6/6/2020,VA,Manassas city,51683,55,219
6/10/2020,2/1/2020,6/6/2020,VA,Newport News city,51700,20,730
6/10/2020,2/1/2020,6/6/2020,VA,Norfolk city,51710,12,912
6/10/2020,2/1/2020,6/6/2020,VA,Petersburg city,51730,25,283
6/10/2020,2/1/2020,6/6/2020,VA,Portsmouth city,51740,15,396
6/10/2020,2/1/2020,6/6/2020,VA,Richmond city,51760,39,1118
6/10/2020,2/1/2020,6/6/2020,VA,Roanoke city,51770,16,868
6/10/2020,2/1/2020,6/6/2020,VA,Salem city,51775,13,357
6/10/2020,2/1/2020,6/6/2020,VA,Suffolk city,51800,36,362
6/10/2020,2/1/2020,6/6/2020,VA,Virginia Beach city,51810,20,1108
6/10/2020,2/1/2020,6/6/2020,VA,Winchester city,51840,17,400
6/10/2020,2/1/2020,6/6/2020,WA,Benton County,53005,61,725
6/10/2020,2/1/2020,6/6/2020,WA,Chelan County,53007,11,321
6/10/2020,2/1/2020,6/6/2020,WA,Clark County,53011,15,1349
6/10/2020,2/1/2020,6/6/2020,WA,Island County,53029,12,212
6/10/2020,2/1/2020,6/6/2020,WA,King County,53033,483,5040
6/10/2020,2/1/2020,6/6/2020,WA,Pierce County,53053,72,2532
6/10/2020,2/1/2020,6/6/2020,WA,Skagit County,53057,11,451
6/10/2020,2/1/2020,6/6/2020,WA,Snohomish County,53061,109,1956
6/10/2020,2/1/2020,6/6/2020,WA,Spokane County,53063,32,1824
6/10/2020,2/1/2020,6/6/2020,WA,Whatcom County,53073,37,662
6/10/2020,2/1/2020,6/6/2020,WA,Yakima County,53077,65,790
6/10/2020,2/1/2020,6/6/2020,WV,Kanawha County,54039,25,1046
6/10/2020,2/1/2020,6/6/2020,WI,Brown County,55009,41,1010
6/10/2020,2/1/2020,6/6/2020,WI,Dane County,55025,37,1622
6/10/2020,2/1/2020,6/6/2020,WI,Grant County,55043,10,168
6/10/2020,2/1/2020,6/6/2020,WI,Kenosha County,55059,29,533
6/10/2020,2/1/2020,6/6/2020,WI,Milwaukee County,55079,283,3745
6/10/2020,2/1/2020,6/6/2020,WI,Ozaukee County,55089,32,422
6/10/2020,2/1/2020,6/6/2020,WI,Racine County,55101,24,669
6/10/2020,2/1/2020,6/6/2020,WI,Rock County,55105,13,607
6/10/2020,2/1/2020,6/6/2020,WI,Walworth County,55127,14,307
6/10/2020,2/1/2020,6/6/2020,WI,Waukesha County,55133,28,1285
